comment_ori,comment_clean,llm_label
"""Mereka yang tidak bisa mengingat masa lalu terkutuk untuk mengulanginya.""
George Santayana dalam bukunya The Life of Reason (1905–1906).

Sigma banget ni kata-kata",ingat masa kutuk ulang george santayana buku life reason sigma kata kata,Netral
Sehat-sehat tim Kok Bisaa🎉🎉🎉,sehat sehat,Netral
"Sejarah adalah loophole realita, karena sejarah dapat terulang. Masa kelam dan masa jaya silih berganti. Oleh sebab itu kita tidak boleh melupakan sejarah agar hal buruk dapat diantisipasi dan memperbaiki diri agar jadi lebih baik.

#menolaklupasejarah",sejarah lophole realita sejarah ulang masa kelam masa jaya silih ganti lupa sejarah buruk antisipasi baik diri baik menolaklupasejarah,Positif
06:06 bukan ga berani ngomong sih bang percuma juga negeri ini emng udah rusak aja,berani ngomong percuma negeri emng udah rusak,Positif
"Di sini kita bisa sadar. Sejarah bkn ditulis oleh pemenang/penguasa, tapi sejarah diajarkan menurut para pemenang/penguasa.

Siapa aja bisa menulis sejarah, mencari jejak sejarah, dll. Tapi gk semua orang bisa mengajarkan sejarah.",sini sadar sejarah tulis menang kuasa sejarah ajar menang kuasa tulis sejarah cari jejak sejarah semua ajar sejarah,Positif
Apakah vidio ini juga bakal dilenyapkan?,vidio lenyap,Positif
"Justru dari Sejarah lah kita belajar banyak hal. Ibarat kita belajar dari masalalu, kita harus mempelajari sejarah agar kita tidak mengulangi kesalahan yang sama, kesalahan yang telah dilakukan oleh orang-orang terdahulu. 

Itu menurutku. Kuharap dunia ini bisa lebih baik.",justru sejarah ajar banyak ibarat ajar masalalu ajar sejarah ulang salah salah dahulu turut harap dunia baik,Positif
Bahas speculative evolution bang,bahas evolusi spekulatif,Netral
presiden = petrus,presiden petrus,Negatif
Selamatkan buku2 sejarah 😊,selamat buku sejarah,Negatif
"Terima kasih Om udah angkat Issue ini. Oia yang mau gunain fake gps anti-deteksi mampir sini ads frik dan tipsnya, dijamin work 100%",terima kasih udah angkat isue gunain fake anti deteksi mampir sini frik tipsnya jamin work,Netral
emg wowok dan kroni kroninya sinting,wowok kroni kroni sinting,Netral
Demokrasi rasa Otoriter.,demokrasi rasa otoriter,Netral
Indonesia menuju masa kegelapan,indonesia tuju masa gelap,Netral
"Saya kira yg akan di ubah itu sejarah tentang belanda menjajah 350 tahun padahal aslinya ga sampai

Masih banyak juga sejarah sebelum merdeka lain yg di hilangkan oleh belanda dan penjajah lain....

Tapi kalau ternyata sejarah yg di tulis setelah merdeka sayang sekali bukan membantu malah memperburuk apalagi sampai menghapus sejarah  yg merusak citra pemerintah 


Banyak sejarawan Indonesia dan luar negeri seperti Prof. Ong Hok Ham, Dr. Taufik Abdullah, hingga Anthony Reid sepakat bahwa sejarah kolonial Indonesia tidak netral.",kira ubah sejarah belanda jajah tahun padahal asli banyak sejarah merdeka hilang belanda jajah nyata sejarah tulis merdeka sayang bantu buruk hapus sejarah rusak citra perintah banyak sejarawan indonesia luar negeri prof taufik abdu anthony reid sepakat sejarah kolonial indonesia netral,Positif
"pantes buku ppkn dari SD, SMP, SMA isinya kebanyakan cuman tentang kemerdekaan ama penjajahan doang, soalnya kalo isinya sejarah yang lain... 😹",pant buku isi kemerdekan jajah doang kalo isi sejarah,Netral
"Yg mau hapus itu kayanya sih pernah ikut jadi pelakunya, mau tutupi kejahatan nya dia makanya mau hapus sejarah yang ada dia didalamnya",hapus kaya pernah ikut laku tutup jahat makanya hapus sejarah dalam,Netral
"sekedar info ya dulu pemerintahan pernah menyerang sumatra barat dan membakar desa/kota ku saat itu dan itu di hapus ,cerita ini di ceritakan oleh nenek ku 😑",dar info dulu perintah pernah serang sumatra barat bakar desa kota hapus cerita cerita nenek,Netral
Kenapa thumbnail nya diganti?,thumbnail ganti,Netral
"kalo petrus dikomenin blabla, giliran sekarang banyak preman, tukang palak, begal, ormas kaga dikomenin wkwokwo, faktanya petrus emang efektif buat nurunin tindakan kriminal sampe"" org gk ada yg berani malak tapi seolah"" lu liat cuman dari sisi negatifnya doang, coba bandingin ma sekarang jangankan preman, polisi aja ikutan malakin rakyat miskin, jadi lu yakin ngomenin petrus tapi tutup mata sama keadaan indonesia sekarang ini yang serba penuh premanisme dan pemalakan pasca di bannya petrus? ibaratnya lu mihak orang"" preman dan tukang palak tadi lu dukung supaya mereka trus meras rakyat kecil kek yang terjadi sekarang wkwk lucu sih",kalo petrus dikomenin blabla gilir sekarang banyak preman tukang palak begal ormas kaga dikomenin wkwokwo fakta petrus efektif buat nurunin tindak kriminal berani malak liat sisi negatif doang bandingin sekarang jangan preman polisi ikut malakin rakyat miskin yakin ngomenin petrus tutup mata adan indonesia sekarang serba penuh preman mala pasca banya petrus ibarat mihak preman tukang palak tadi dukung trus ra rakyat kecil jadi sekarang wkwk lucu,Netral
4:13 keinget anime Org 😂,keinget anime,Netral
Rindu kokbisa dulu yang masih takut menghujat pemerintah.,rindu kokbisa dulu takut hujat perintah,Netral
Void century,abad kosong,Netral
Video ini berorientasi kebenaran dan fakta,video orientasi benar fakta,Netral
Tangkap dan adili anies.,tangkap adil anies,Netral
Hidup joko,hidup joko,Positif
"LAWANNNNNNN!!!
Terimakasih banyak KokBisa sudah membuat video edukasi sebagus & seniat ini🙏🏻",lawan terimakasih banyak kokbisa video edukasi bagus niat,Positif
LAWANNNNNN!!!,lawan,Positif
"Kalo misalkan sejarah resmi pemerintah kelak tdk memasukkan peristiwa2 kontroversial spt petrus, pembantaian 1965, kerusuhan & pemerkosaan 1998 dst, maka kita yg tahu seharusnya memberitahukan generasi berikutnya/anak kita sejarah yg sebenarnya. Misalnya anak kita ada PR menjawab pertanyaan sejarah th 1965, tetap jawab sesuai dg buku pelajaran dia, sambil kita kasih tahu ""ini yg sebenarnya terjadi..."", mgkn sang anak akan bertanya ""kok bisa?"" Dari sinilah akan tumbuh rasa ingin tahunya utk mencari bagaimana sejarah yg sebenarnya terjadi di masa kelam tsb...",kalo misal sejarah resmi perintah kelak pasu peristiwa kontroversial petrus bantai rusuh pemerkosan memberitahukan generasi ikut anak sejarah benar misal anak jawab pertanyan sejarah tetap jawab sesuai buku ajar kasih benar jadi mgkn sing anak tanya sini tumbuh rasa tahu cari sejarah benar jadi masa kelam,Positif
onepiece IRL,onepiece,Positif
"Pas nonton ini rasanya merinding banget, mengingat beberapa sejarah yg tidak pernah saya dengar muncul saat saya udah mencari lebih dalam",nonton rasa merinding ingat beberapa sejarah pernah dengar muncul udah cari,Positif
4:12 jadi pengen nonton anime orb lagi nih,ken nonton anime,Netral
"Mantap👍
Ada contoh dari Pemerintah Dunia One Piece dan Buster Call",mantap contoh perintah dunia piece buster,Positif
Mantap nih bahas sejarah📜 🗿💅,mantap bahas sejarah,Positif
👏🏻👏🏻,,Netral
Apa kita harus ngelakuin apa yang di lakukan rakyat Thailand ke perdana menteri nya?,ngelakuin laku rakyat thailand perdana menteri,Positif
WAJIB RAME!!,wajib rame,Positif
👨‍🦲🔊📢BAkSSOOO... BAkSSSOOOO....!,bakso bakso,Positif
"Sedih banget sama kondisi negara ini sekarang, semangat buat kita yang terus membuka kebeneran dan keadilan.",sedih kondisi negara sekarang semangat buat buka kebeneran adil,Positif
"Ya gitu lah sejarah memang hal yang paling berbahaya bagi politik
Itulah mengapa jika buku sejarah dunia terbuka kita bisa lihat berapa milayar buku telah dimusnahkan.....",sejarah bahaya politik buku sejarah dunia buka lihat berapa milayar buku musnah,Positif
Bangsa besar adalah bangsa yg mencatat sejarah kelam di masa lalu sebagai introspeksi di masa depan sedangkan bangsa yg picik adalah bangsa yg menghapus catatan kelam di masa lalu,bangsa besar bangsa catat sejarah kelam masa introspeksi masa depan bangsa picik bangsa hapus catat kelam masa,Netral
"Kita pernah ingin mencoba invasi Malaysia,, kita pernah menjajah timur leste...",pernah coba invasi malaysia pernah jajah timur leste,Positif
Kobi sangat sangat berani,kobi berani,Positif
Bang bahas asapa rokok yg masuk tubuh,bahas asapa rokok masuk tubuh,Positif
"Petrus itu lycoris nya Indonesia. 
Buat yang tau anime aja hehe.

BTW sejarah dihilangkan, tapi kenapa admin tau? 😮",petrus lycoris indonesia buat anime hehe sejarah hilang admin,Positif
Dari pada rugi ke duanya mending rugi satu dan memajukan yang lain setelah berhasil melewati batasan itu maka bisa mengendalikannya,rugi dua mend rugi satu maju hasil lewat bata mengendalikanya,Positif
LAWANNNNN!!!!,lawan,Positif
"Seperti Jepang, generasi muda nya gk ada yg tau kalo negara mereka dulu pernah menjajah Indonesia dgn kejam nya.",jepang generasi muda kalo negara dulu pernah jajah indonesia kejam,Positif
onepiece bukan sekedar anime😬,onepiece dar anime,Positif
Lekas Pulih Indonesia Ku❤,lekas pulih indonesia,Positif
"GAME ONLINE ➡ S U K A J P 
GAMPANG MENANG ➡ SUKAJP 
BURUAN KE ➡ SUKAJP",game online gampang menang sukajp buru sukajp,Positif
gimana ni pendukung 58% (inisial prabowo). Gimana tanggapan kalian akan segala kebijakannya 😹 nikmatin tu oke gas 😹,dukung inisial prabowo tangap segala kebijakanya nikmatin,Positif
Ada one Piece coyyy 🗿,piece malu malu,Positif
nando demoo,nando demo,Netral
Njier,njier,Positif
"Jika sejarah di hilang/hapus, apakah kebebasan masih bisa kita rasakan? Atau dikendalikan mereka yang berkuasa? 
Kok bisa, pemikiran yang luas. #KokBisa",sejarah hilang hapus bebas rasa kendali kuasa pikir luas kokbisa,Positif
"Next bahas ""efektifkah masuk sekolah jam 6 pagi"" & ""masukin anak bandel ke barak militer dari sudut pandang psikologi""

Nanti saya kena serang pula ama pendukung onoh wkwkwk",next bahas efektif masuk sekolah pagi masukin anak bandel barak militer sudut pandang psikologi kena serang dukung onoh wkwkwk,Positif
"Bener sekali sejarah kelam itu di hilangin untuk membuat rakyat patuh, tapi tetap saja sesuatu yang Bersembunyi pastinya akan ke tahuan rakyat pasti tahu sejarah ini",bener sejarah kelam hilangin rakyat patuh tetap sembunyi pasti tahu rakyat sejarah,Netral
"Jangankan masalah ekstern macem gejolak politik, ekonomi dan militer di dalam dan luar negeri... di dalam intern keluarga ada juga pernah menemui gejolak disuruh bungkam jika diri kita merasa ditindas seolah mereka yang benar... Tapi skr udah ada sosmed jadi bs cepat tersebar luas ke semua kalangan tinggal siapa yang mereka percaya...",jangan masalah ekstern macem gejolak politik ekonomi militer luar negeri intern keluarga pernah temu gejolak suruh bungkam diri rasa tindas benar udah sosmed cepat sebar luas semua kalang tingal percaya,Positif
The thumbnail goes hard,thumbnailnya sulit,Positif
"Dibuku buku sejarah Indonesia seperti hilangnya wartawan udin, penembakan saat demon 98 dan tragedi ditahun 1998 banyak yang dihilangkan seperti tentara yang menembak warga sipil yang berdemo tampah alasan dan diperkirakan korban jiwa sampai 500 orang dengan luka luka 867 orang dan itu gak ada dibuku sejarah Indonesia bahkan video video tentang itu gak ada begitu lah pemerintahan kalau ada yang melenceng dari kemauan mereka, mereka akan menghapusnya",buku buku sejarah indonesia hilang wartawan udin tembak demon tragedi tahun banyak hilang tentara tembak warga sipil demo tampah ala kira korban jiwa luka luka buku sejarah indonesia video video perintah lenceng mau hapus,Negatif
Min semoga video nya aman aja jangan sampe diliat pemerintah,moga video aman liat perintah,Negatif
Tetap semangat ya kak bikin kontennya 👍🏻👍🏻😁,tetap semangat konte,Netral
"siapa aja di sini tolong aku dong, aku gapernah pinjol dan sebagainya tapi kenapa isi iklanku di spam pinjol terus😢 udah aku report tiap hari aku udah melakukan berbagai cara tapi kenapa masih tetep iklan pinjol terus yaa:( tolong dong yang tauu cara ngilanginnya gimana aku dah muak banget aslii risihh😢",sini gapernah pinjol bagai iklan spam pinjol udah report tiap hari udah bagai cara tetep iklan pinjol cara ngilanginya muak asli risih,Negatif
sampai sekarang gw ga pahan knp orang2 indonesia sangat takut kepada paham komunis atau PKI ... ??? doktrin film g30 emang sangat berpengaruh,sekarang pah indonesia takut paham komunis doktrin film pengaruh,Netral
Udah darurat ini guys Indonesia butuh kita,udah darurat guy indonesia butuh,Netral
Eropa juga melakukan itu,eropa,Netral
"kenapa si orang selalu fokus sama sejarah sejarah? kenapa gua waktu kecil diajarin tentang sejarah? bukan tentang masa depan gitu, teknologi, atau masalah yang bener bener ada di kehidupan nyata, malah menurut gua ada baiknya sejarah ya secukupnya saja gausah terlalu detail tentang keker*san apalagi pemb*n*han, takutnya kalo diterusin seperti ini next nya indo cuma ngelahirin generasi yang sama kaya kita. semoga dengan ini generasi selanjutnya kita bisa lebih fokus yang bener bener belajar apa yang dibutuhin nextnya, sama biar melek juga gitu dunia tuh arahnya udah kemana, kayanya sejarah itu cocoknya di ajarin untuk agama aja deh sama tentang sains",fokus sejarah sejarah waktu kecil diajarin sejarah masa depan teknologi masalah bener bener hidup nyata baik sejarah cukup gausah detail keker pemb takut kalo diterusin next indo ngelahirin generasi kaya moga generasi lanjut fokus bener bener ajar dibutuhin nextnya melek dunia arah udah kaya sejarah cocok ajarin agama sains,Netral
"selamat buat kalian para voter 02, DONGO",selamat buat voter dongo,Netral
Pantes ada perjanjian Baru dan perjanjian Lama. Untuk membenarkan kesalahan 😂,pant janji baru janji lama benar salah,Positif
"Thank you, Kok Bisa!",thank,Positif
Dan orang orang indonesia malah ngurusin negara lain kyk jepang yg ngapusin sejarah kejahatan perang daripada ngurus sejarah negara sendiri yg pemerintah nya bilang pemerkosaan tahun 98 ga pernah terjadi 🤣,indonesia ngurusin negara jepang ngapusin sejarah jahat perang ngurus sejarah negara sendiri perintah bilang pemerkosan tahun pernah jadi,Positif
"ada yang mau cuci tangan, biar di masa depan generasi berikutnya tidak tau masa kelam Indonesia. dan yang cuci tangan itu lepas dari kesalahan dan dosa",cuci tangan masa depan generasi ikut masa kelam indonesia cuci tangan lepas salah dosa,Negatif
#MenolakLupa,menolaklupa,Positif
Seperti kata warga jepang yang tidak tau kalau jepang pernah menjajah Indonesia kenapa bisa ya karena di hapus dari pelajaran di sekolah jepang ❎,kata warga jepang jepang pernah jajah indonesia hapus ajar sekolah jepang,Positif
"Kalau mau belajar sejarah Indo, paling benar baca Api Sejarah dah 😂",ajar sejarah indo benar baca sejarah,Positif
Sejarah bersahabat erat dengan kejujuran,sejarah sahabat erat jujur,Positif
"Yuk mulai kulik sejarah2 apa saja yang pernah terjadi di negeri kita ini, bisa dari nanya, baca, dengerin musik, dll.
Kita cukupi kebodohan ini sampai disini saja, biar mereka tulis ulang ribuan kali tapi terekam kebenaran di kepala kita jutaan kali 😊",mulai lik sejarah pernah jadi negeri nanya baca dengerin musik cukup bodoh sini tulis ulang ribu rekam benar kepala jutan,Netral
Apakah era bajak laut akan datang,bajak laut datang,Positif
Tiba-tiba disekitar kantor kobi banyak yg jualan bakso..,tiba tiba sekitar kantor kobi banyak jual bakso,Positif
"""History is written by the victor""
 -john price",sejarah tulis menang john price,Positif
Aidit kalo hidup punn geleng2 kepala,aidit kalo hidup geleng kepala,Negatif
Pertanyaannya di manakah one Piece itu berada?,tanya mana piece ada,Netral
"Apresiasi kok bisa berani bersuara. Mumpung belum dibungkam😅😅😅. Ngeri2 sedap, sehat selalu untuk semua team kok bisa.",apresiasi berani suara mumpung bungkam ngeri sedap sehat semua team,Positif
"Dari pada sibuk ngubah masalalu, mending mikirin masa depan, atau mungkin mereka g peduli masa depan😢😢😢😢, mungkin mereka emng g peduli",sibuk ngubah masalalu mend mikirin masa depan peduli masa depan emng peduli,Positif
"If it was battle machete (versatility, easy to maintain, durable) or zweihander (pure power, range, and durable), I'd pick them up instead of katana",parang perang serbaguna mudah rawat tahan lama zweihander kuat murni jangkau tahan lama ambil katana,Netral
"kebobrokan negeri ini harus di tulis di buku sejarah, jangan di berikan angan angan palsu kepada generasi penerus bangsa supaya menjadi pelajaran agar tidak terulang lagi di masa depan",bobrok negeri tulis buku sejarah ikan angan angan palsu generasi terus bangsa ajar ulang masa depan,Netral
"Terimakasih banyak karena sudah ikut menyuarakan betapa keputusan ini sangat tidak adil, tidak berkeprimanusiaan dan akan berdampak buruk untuk korban ataupun rakyat Indonesia kedepannya",terimakasih banyak ikut suara betapa putus adil berkeprimanusian dampak buruk korban atau rakyat indonesia depa,Positif
"bahas dong min
Kok Bisa? hanya modal text/prompt bisa menghasilkan sebuah gambar realis bahkan karya seni atau lebih jauh lagi bisa memproduksi Video",bahas modal text prompt hasil buah gambar realis karya seni jauh produksi video,Netral
Wah video nya baguss bgtt kok bisa sekarang ❤❤,video bagus sekarang,Positif
Tapi efektif kan😊,efektif,Positif
"im sama tidak mau kejahatannya terbongkar,makannya nyuruh gorosei ngehapus sejarah abad kekosongan! selain itu,orang orang di Ohara yang mencoba mengungkap sejarah tersebut dibant**....",kejahatanya bongkar makanya nyuruh gorosei ngehapus sejarah abad kosong ohara coba ungkap sejarah dibant,Positif
Jdi inget film gowok kamasutra jawa,inget film gowok kamasutra jawa,Positif
"Nando demo...

""Berapa kalipun...""",nando demo berapa kali,Positif
"Ini adalah konsep yang menarik, dan ada beberapa cara untuk mendekatinya, tergantung pada apa yang Anda maksudkan.
Mempelajari dari Kesalahan
Seringkali, ide ""buruk"" di masa lalu dapat menjadi pelajaran berharga. Daripada mencoba menghapusnya, lebih baik memahami mengapa ide tersebut gagal atau membawa dampak negatif. Ini bisa melibatkan:
 * Analisis mendalam: Mengidentifikasi faktor-faktor yang menyebabkan kegagalan atau konsekuensi negatif. Apakah itu kurangnya riset, implementasi yang buruk, atau karena ide tersebut tidak etis?
 * Dokumentasi: Mencatat secara objektif apa yang terjadi, mengapa, dan apa yang bisa dipelajari. Ini membantu mencegah pengulangan kesalahan yang sama di masa depan.
 * Transparansi: Terkadang, mengakui kesalahan dan belajar darinya adalah cara terbaik untuk membersihkan nama atau reputasi.
Merevolusi atau Memodifikasi Ide
Terkadang, sebuah ide yang awalnya buruk bisa diperbaiki atau diubah menjadi sesuatu yang positif. Ini bukan ""menghapus"" sejarah, melainkan menulis ulang masa depan ide tersebut. Contohnya:
 * Identifikasi elemen positif: Apakah ada bagian dari ide tersebut yang masih memiliki potensi, meskipun inti utamanya buruk?
 * Perubahan fundamental: Mungkin perlu ada perombakan total dari konsep asli, mempertahankan namanya tetapi dengan substansi yang sama sekali baru.
 * Rebranding: Mengubah nama, citra, atau cara ide tersebut dipresentasikan untuk memisahkan diri dari asosiasi negatif sebelumnya.
Mengubur Ide Secara Simbolis
Dalam beberapa kasus, terutama jika ide tersebut sangat merugikan atau tidak etis, upaya untuk ""menghapus"" sejarah mungkin berarti menolak dan mengutuknya secara tegas. Ini bisa berupa:
 * Deklarasi publik: Secara terbuka menolak ide tersebut dan segala bentuk dukungan terhadapnya.
 * Penghapusan fisik atau simbolis: Jika ada monumen atau simbol terkait ide buruk tersebut, mungkin ada upaya untuk menghapusnya atau mengubah maknanya.
 * Edukasi: Memastikan bahwa generasi mendatang diajari tentang bahaya atau kerugian dari ide tersebut, sehingga tidak terulang kembali.
Mengapa Sulit ""Menghapus"" Noda Sejarah
Penting untuk diingat bahwa sejarah tidak bisa benar-benar dihapus. Peristiwa dan ide yang telah ada akan selalu menjadi bagian dari catatan waktu. Upaya untuk menghapus sepenuhnya seringkali justru menyembunyikan kebenaran dan dapat mengulangi kesalahan di masa depan.
Fokusnya seharusnya bukan pada penghapusan, melainkan pada pembelajaran, perbaikan, dan pencegahan agar ide-ide buruk tidak terulang atau tidak lagi memiliki dampak negatif",konsep tarik beberapa cara dekat gantung maksud ajar salah seringkali buruk masa ajar harga coba hapus baik paham gagal bawa dampak negatif libat analisis dalam identifikasi faktor faktor sebab gagal konsekuensi negatif kurang riset implementasi buruk etis dokumentasi catat objektif jadi ajar bantu cegah ulang salah masa depan transparansi terkadang aku salah ajar dari cara baik bersih nama reputasi revolusi modifikasi terkadang buah awal buruk baik ubah positif hapus sejarah tulis ulang masa depan contoh identifikasi elemen positif bagi potensi meski inti utama buruk ubah fundamental perlu ombak total konsep asli tahan nama substansi baru rebranding ubah nama citra cara presentasi pisah diri asosiasi negatif belum kubur simbolis beberapa kasus utama rugi etis upaya hapus sejarah arti tolak kutuk tegas upa deklarasi publik buka tolak segala bentuk dukung hadap hapus fisik simbolis monumen simbol kait buruk upaya hapus ubah makna edukasi pasti generasi datang ajar bahaya rugi sehinga ulang sulit hapus noda sejarah penting dingat sejarah benar benar hapus peristiwa bagi catat waktu upaya hapus sepenuh seringkali justru sembunyi benar ulang salah masa depan fokus hapus ajar baik cegah buruk ulang dampak negatif,Positif
Saya mungkin kita mengakui ada kebaikan orde Baru dan iya dan mungkin didalam keluarga kita sendiri ada pejabat dimasa itu.. TAPIIIII.. jika sejarah kelam masa lalu maupun masa kelam yg saya alami di 98 yg memang heroik dan penuh ketidakpastian apakah akan dihapus??? Sungguh BIADAB jika itu dihilangkan!!!!!. Bahkan lebih BIADAB daripada ORDE BARU!!!!!!!!!!. INGAT OM WOWO JANJI MANIS MU HANYA MENSEJAHTERAKAN RAKYAT BUKAN MERUBAH SEJARAH YG JELAS TELAH DILALUI BANGSA INI DENGAN BAIK DAN BENAR. JIKA ENGKAU MENGIZINKAN APALAGI MENYARANKAN SEJARAH DIRUBAH MAKA ANDA PRABOWO SUBIANTO LEBIH BIADAB DARI ORDE BARU. SAYA KELUARGA YG MEMILIKI KELUARGA DIDALAM PEJABAT ORDE BARU SALAM AKAL SEHAT.,aku baik orde baru dalam keluarga sendiri jabat masa sejarah kelam masa maupun masa kelam alami heroik penuh ketidakpastian hapus sunguh biadab hilang biadab orde baru wowo janji manis sejahtera rakyat rubah sejarah jelas lalu bangsa baik benar engkau izin saran sejarah rubah prabowo subianto biadab orde baru keluarga keluarga dalam jabat orde baru salam akal sehat,Netral
Harusnya bocil2 gen z diletakkan disana. Biar gak seenak jidatnya ngomong enaknya zaman orba,harus bocil leta sana senak jidat ngomong enak zaman orba,Positif
"Bang Nitip di kolom chat, Pemberontakan PKI 1928 terhadap Belanda di daerah Misteer Cornelis sebagai satu-satunha pemberontakan organisasi kebangkitan yang ada di Indonesia, sebagai forma keputusan suara milik seluruh rakyat, sebagai gerakan internationale Indonesia pertama. Hal ini yang ngebuat PKI di inca roleh Belanda karena dapat merusak citra Belanda bahwa mereka adalah pasukan lemah jika semua orang bangkit bersama seperti Bolsevik",nitip kolom chat ronta belanda daerah mister cornelis satu satunha ronta organisasi bangkit indonesia forma putus suara milik seluruh rakyat gera internationale indonesia pertama ngebuat inca roleh belanda rusak citra belanda pasu lemah semua bangkit sama bolsevik,Netral
"kreen banget. kok bisa, semangat perjuangan takkan padam, yuk shareee",kren semangat juang tak padam share,Positif
sangat buruk om kok,buruk,Netral
"Damn, nggak nanggung nanggung",damn nangung nangung,Positif
"Satu lagi kayak jepang yang mengahapus sejarah penjajahannya dari korea, china dan negara yang dijajahnya. juga dihilangkannya perempuan jajahannya yang jadi pelecehan seksual yaitu demi menghormati sang kaisar Hirohito dan penerusnya",satu jepang mengahapus sejarah penjajahanya korea china negara jajah dihilangkanya perempuan jajahanya leceh seksual hormat sing kaisar hirohito terus,Netral
"Jadi inget pernah baca buku api sejarah jilid 2, gw terkaget2 ternyata sejarah yg kita tahu itu banyak di plintir dan di selewengkan. Faktanya jauh beda sama yg kita pelajari di sekolah",inget pernah baca buku sejarah jilid kaget nyata sejarah banyak plintir seleweng fakta jauh beda ajar sekolah,Positif
"nah selanjutnya nya min bikin judul begini ""kenapa sejarah tionghoa kok banyak disembunyikan?""",lanjut judul begini sejarah tionghoa banyak sembunyi,Positif
One piece: alasan kenapa pemerintah dunia menghapus voic century,piece ala perintah dunia hapus voic century,Negatif
98 mau di hapus pun bakal di ingat sampai kapan pun,hapus kapan,Netral
FASIS YANG BAIK ADALAH FASIS YANG MATI!,fasis baik fasis mati,Netral
Tonton selagi videonya belum di take down😌,tonton take,Netral
Tapi memang pemenang yg menulis sejarah,menang tulis sejarah,Netral
Diubah sesuai dengan keinginan penguasa,ubah sesuai ingin kuasa,Positif
Sebar ini wahai sahabat Kok Bisa?,sebar wahai sahabat,Netral
Wiji Thukul,wiji thukul,Netral
One piece is real 🔥,satu bagi nyata,Positif
"Kebenaran gak boleh dikubur cuma karena kekuasaan. Teruslah mencari tahu karena sejarah bukan milik penguasa, tapi milik semua manusia!",benar kubur kuas terus cari sejarah milik kuasa milik semua manusia,Positif
Jangan di hapus ya video ini,hapus video,Netral
menolak lupa,tolak lupa,Netral
"saat kok bisa mulai melawan sistem pemeintahan, itu artinya negara sedang tidak baik baik saja",mulai lawan sistem pemeintahan arti negara sedang baik baik,Positif
"Kaya di Boruto, sejarah pembantaian clan uchiha oleh itachi dihapus, diganti tragedi aja yg menyebabkan punah nya clan uchiha. Dan banyak sejarah2 kelam lainnya diubah di era pemerintahan baru setelah perang dunia ninja.
Jadi yg tau sejarah aslinya cuma para petinggi",kaya boruto sejarah bantai clan uchiha itachi hapus ganti tragedi sebab punah clan uchiha banyak sejarah kelam lai ubah perintah baru perang dunia ninja sejarah asli tingi,Positif
"Jika pemerintah tetap bersikeras melanjutkan revisi sejarah Indonesia, maka tidak salah jika rakyat Indonesia mencurigai akan ada fakta sejarah yang ditutupi/dihapus sekalipun itu fakta kelam",perintah tetap sikeras lanjut revisi sejarah indonesia salah rakyat indonesia curiga fakta sejarah tutup hapus sekalipun fakta kelam,Netral
Kongres Perempuan Indonesia pertama ada salah satu pesertanya yang pada akhirnya menjadi orang terpenting di dalam gerakan bahasa Esperanto di Indonesia.,kongres perempuan indonesia pertama salah satu serta akhir penting gera bahasa esperanto indonesia,Positif
Sejarah ditulis oleh pemenang kawan,sejarah tulis menang kawan,Netral
Bagus banget gila.... Ini gabakal ada yang bakal kepikiran kaya gini yang lain sibuk pada joget velocity dan mana mau paham soal beginian tetap konsisten untuk chanel ini 🎉,bagus gila gabakal pikir kaya sibuk joget velocity paham soal begini tetap konsisten chanel,Netral
"Apa iya menulis ulang sejarah dalam buku"" pelajaran masih relevan di masa kini? Di saat informasi disebarkan dengan viralitas medsos (kebanyakan). Kecuali ""mereka"" melawan narasi"" anti sejarah versi pemerintah via propaganda medsos juga. Berarti kata salah satu mantan calon presiden waktu itu BENAR. Pemerintah saja yang punya instrumen lengkap untuk disinformasi dengan skala yang besar, dengan periode yang panjang.",tulis ulang sejarah buku ajar relevan masa kini informasi sebar viralitas medsos lawan narasi anti sejarah versi perintah propaganda medsos arti kata salah satu mantan calon presiden waktu benar perintah punya instrumen lengkap disinformasi skala besar periode panjang,Netral
kenapa kebanyakan negara yg menjajah kebanyakan dari eropa,negara jajah eropa,Netral
"Persis kayak ponyglif di one piece,abad kekosongan dilarang untuk diketahui",persis ponyglif piece abad kosong larang tahu,Positif
Aku benci Israel yang setuju Israel dibenci di komentar,benci israel tuju israel benci komentar,Positif
Brengsek semua dihapus,brengsek semua hapus,Positif
bahlil di petrusin dong,bahlil petrusin,Positif
"apa kah agenda fadli zon selarah dgn agenda mengangkat presiden suharto sebagai pahlawan nasional?
emang sih pembangunan pada orba itu meningkat walu hanya di pulau jawa tapi dibalik semua upaya suharto buat bangun indonesia lebih banyak catatan kelam nya di banding catatan putihnya dan ini tdk layak di jadi ka sebagai sosok pahlawan nasional, cukup sebagai gelar bapak pembangunan saja.",agenda fadli larah agenda angkat presiden suharto pahlawan nasional bangun orba tingkat walu pulau jawa balik semua upaya suharto buat bangun indonesia banyak catat kelam band catat putih layak sosok pahlawan nasional cukup gelar bapak bangun,Positif
Ada sejarah Nico Robin 😱,sejarah nico robin,Positif
